action,duration_s,n_ticks,distance_cells,heading_change_radians,focused_all
RIGHT,0.07990000000000208,5,1.0653673300359452,,True
LEFT,0.05977000000000032,4,0.6393816956044119,,True
STRAIGHT,0.059789999999999566,4,0.6393671892438308,,True
STRAIGHT,0.020030000000005543,2,0.21311892898243537,,True
LEFT,0.11995999999999896,7,1.2784872698703187,0.03490136438233837,True
STRAIGHT,0.08009999999999451,5,0.8524932113556647,,True
RIGHT,0.10007000000000232,6,1.2784881691323413,,True
LEFT,0.1002200000000002,6,1.0653647090575782,,True
STRAIGHT,0.09967000000000326,6,1.0656327936446515,,True
RIGHT,0.07994000000000057,5,1.065372614949669,,True
LEFT,0.10047999999999746,6,1.2784865007236978,,True
STRAIGHT,0.09973999999999705,6,1.2787491804727793,,True
RIGHT,0.0799999999999983,5,1.0653760193884318,,True
LEFT,0.10034000000000276,6,1.2784952472172273,,True
STRAIGHT,0.0998999999999981,6,1.2787484006934093,,True
RIGHT,0.09984000000000037,6,1.4908497214121104,,True
LEFT,0.10016999999999854,6,1.491356590415957,,True
STRAIGHT,0.09991000000000128,6,1.2787202584959745,,True
RIGHT,0.0804199999999966,5,1.2782222644787895,,True
LEFT,0.14005000000000223,8,1.7047438350253,0.13959583981685109,True
STRAIGHT,0.09973999999999705,6,1.0656395854021912,,True
RIGHT,0.06014999999999304,4,0.8522393054305378,,True
LEFT,0.0996200000000016,6,1.0653695599475161,,True
STRAIGHT,0.09963000000000477,6,1.0656192514354892,,True
RIGHT,0.05971999999999866,4,0.8522337352342371,,True
LEFT,0.09985999999999251,6,1.278483487013291,,True
STRAIGHT,0.0996200000000016,6,1.0656422691672862,,True
RIGHT,0.08021999999999707,5,0.8522512987136812,,True
LEFT,0.08017000000000962,5,0.8525024830091562,,True
STRAIGHT,0.11996999999999503,7,1.4918587566879342,4.185026039493778e-06,True
RIGHT,0.08021999999999707,5,1.0653594689049326,,True
LEFT,0.10003000000000384,6,1.2784921448180941,,True
STRAIGHT,0.1401299999999992,8,1.7050167276060924,-3.3378197983324753e-06,True
RIGHT,0.08011999999999375,5,0.8524954843479748,,True
LEFT,0.09980999999999085,6,1.278495341255419,,True
STRAIGHT,0.11987000000000592,7,1.7050362632010814,1.0384882775937854e-07,True
RIGHT,0.07997000000000298,5,0.8525123731624953,,True
LEFT,0.12010999999999683,7,1.4905771744013392,0.034899653943439635,True
STRAIGHT,0.10004000000000701,6,1.2787378119189978,,True
RIGHT,0.12021000000000015,7,1.4915992917873615,-0.06988803808276511,True
LEFT,0.11973000000000411,7,1.4913581225285313,0.06978682811356274,True
STRAIGHT,0.11973000000000411,7,1.4919025496648786,2.8443521580268083e-06,True
RIGHT,0.10016000000000247,6,1.2784873333333335,,True
LEFT,0.1001499999999993,6,1.0653687832705971,,True
STRAIGHT,0.12009000000000469,7,1.4918938338741874,-4.796321314115559e-06,True
RIGHT,0.10021999999999309,6,1.2784890251696162,,True
LEFT,0.11988999999999805,7,1.70396157360767,0.06979493250848989,True
STRAIGHT,0.12001000000000772,7,1.4918750650130979,4.849778802329396e-06,True
RIGHT,0.1000800000000055,6,1.2787498880777717,,True
LEFT,0.10011000000000081,6,1.0653648823277964,,True
STRAIGHT,0.11999999999999034,7,1.491902253168232,4.633928818442712e-08,True
RIGHT,0.12014000000000635,7,1.7044929343046027,-0.10483666072532993,True
LEFT,0.12008000000000152,7,1.27849323624215,0.034902648240805245,True
STRAIGHT,0.12023999999999546,7,1.491897955112111,6.141072943499637e-07,True
RIGHT,0.09993000000000052,6,1.2784864525765964,,True
LEFT,0.12021000000000015,7,1.5074237101029058,0.06979294324851226,True
STRAIGHT,0.14006999999999437,8,1.9181092981948367,-3.642570656214872e-06,True
RIGHT,0.11968999999999141,7,1.491595501000022,-0.06989338195479156,True
LEFT,0.1000800000000055,6,1.2784869753456654,,True
STRAIGHT,0.12032999999999561,7,1.704974729659076,-3.94001314973913e-06,True
RIGHT,0.11984999999999957,7,1.4916086677086984,-0.10484348596786819,True
LEFT,0.11971000000001197,7,1.49160947905492,0.06979456067384815,True
STRAIGHT,0.11977999999999156,7,1.491885895414562,-1.3988810110276972e-14,True
