action,duration_s,distance_cells,heading_change_radians,focused_all,pre_speed_cells_per_sec,post_speed_early_cells_per_sec,post_heading_settle_radians
LEFT,1.7599600000000066,24.05692631376846,7.247220156496629,True,13.851927543736362,13.686883973633188,0.011620289410708029
RIGHT,1.8201400000000092,24.931390743670214,-7.513291441443455,True,12.982635293013963,13.853163472792948,4.7607130921716034e-06
LEFT,1.9601100000000145,26.899737842862134,8.121378798815947,True,13.00484252275289,12.996667910383382,0.011624306364153458
RIGHT,2.5801199999999938,35.209468033366406,-10.833077842168983,True,13.835080362206481,13.106379896283535,-2.0703064826932405e-06
LEFT,1.839979999999997,25.149810522637193,7.57286233995516,True,14.419233651222019,13.661778811212084,0.011630170773227588
RIGHT,1.840440000000001,25.150089144936125,-7.583070451147042,True,13.672849490864923,13.002065438564921,-2.531308496145357e-14
LEFT,1.9596099999999979,26.68107791338155,8.096348888163217,True,13.657749253007436,13.66242375672449,-3.8967322096850054e-06
RIGHT,1.9202200000000005,26.24350300267256,-7.967485172081153,True,14.35677032760216,13.853249290053897,0.0
LEFT,1.980240000000009,27.11840320496196,8.224360286227506,True,13.675303064714205,13.672378075809942,0.01163000989205936
RIGHT,2.1199399999999855,29.0864863347163,-8.82954934231848,True,13.674966122570362,13.668447345230522,-1.5364383667559878e-06
LEFT,1.2996100000000013,17.71479118774904,5.223142949609929,True,13.843086791640657,,
RIGHT,1.8399699999999939,25.15007759151567,-7.583177673710439,True,13.851073487069224,13.111066892475407,-0.011639022680604738
LEFT,2.17992000000001,29.742822591119715,9.06190359344998,True,13.665996773127633,13.850408140216896,-2.220446049250313e-15
RIGHT,1.8800099999999986,25.80554347252874,-7.816198882158483,True,13.680809715651089,13.679606247181592,-0.01164488910127126
LEFT,1.9998899999999935,27.33707801874828,8.294142443746756,True,13.675341009311206,,
RIGHT,2.180020000000013,29.96139807211586,-9.110783403070318,True,,14.299001720859238,6.52569482312293e-07
LEFT,2.3000200000000177,31.492253003418654,9.585374717885983,True,,12.99653761129841,0.011618040146323505
RIGHT,2.0602099999999837,28.21186543577544,-8.550089941043947,True,13.84604198209531,12.990014541964443,-0.011647208509070861
LEFT,2.119720000000001,29.08575943395066,8.829225583900381,True,13.686080266734889,13.848913998780539,0.011624086472508566
RIGHT,2.200029999999998,30.180328774962415,-9.180773586060289,True,13.182028567888272,13.692051174736354,0.0
LEFT,1.859960000000001,25.5873987815887,7.747379239769666,True,13.845463569477907,13.8504947857706,0.011627660034146281
RIGHT,2.6202399999999955,35.86626045319639,-10.996189664229348,True,13.8504947857706,13.850404479446178,-0.0099739596688182
LEFT,1.920170000000013,26.462156955204374,7.9916488634900755,True,13.670460955345487,13.668727290930185,0.011623882470939546
RIGHT,1.76015000000001,24.275312819548816,-7.258769134163239,True,13.665741138588896,14.298870161802204,-0.011651239470594543
LEFT,2.3195599999999956,31.492562708786178,9.631884425314569,True,,13.85043689112996,-1.3322676295501878e-15
RIGHT,2.7601300000000037,37.615940880825754,-11.566935143533346,True,13.118842766657334,13.67585159588602,-4.524950216300283e-06
LEFT,2.7002999999999986,36.95971115756678,11.376763015875767,True,14.3605245377732,13.841529264944807,2.5015116986715213e-06
RIGHT,2.740019999999987,37.61521073492355,-11.590293797429453,True,13.84475669590467,13.837548213585842,0.0
LEFT,2.6198800000000233,35.866208462963534,11.027798737806737,True,12.985437017761477,13.845780007524029,-4.728821825006335e-06
RIGHT,2.360090000000014,32.14817803732583,-9.889513332450138,True,13.845780007524029,13.285891246093952,-3.6423864133716677e-06
LEFT,2.719850000000008,37.178447565615215,11.41167196046339,True,,,
RIGHT,2.940050000000042,40.239884993698176,-12.440587954619222,True,,13.135449994393758,-4.641728694743108e-06
LEFT,2.0597400000000334,28.430623614807697,8.6099251388897,True,,,
